Transaction_ID,Customer_ID,Product_Category,Product_Name,Quantity,Unit_Price,Total_Amount,Purchase_Date,Customer_City,Payment_Method,Customer_Age,Customer_Gender
T0001,C0126,Sports,Football,1,25000,25000,2025-05-21,Karachi,Credit Card,65.0,Male
T0002,C0048,Sports,Football,7,500,3500,2025-01-16,Karachi,Credit Card,50.0,Male
T0003,C0302,Beauty,Skin Care,7,1000,7000,2025-08-18,Lahore,Cash,28.0,Female
T0004,C0053,Grocery,Snacks,3,1000,3000,2025-06-22,Lahore,Online Payment,24.0,Female
T0005,C0275,Grocery,Snacks,1,25000,25000,2025-08-24,Islamabad,Online Payment,23.0,Female
T0006,C0024,Sports,Yoga Mat,4,25000,100000,2025-02-05,Multan,Credit Card,36.0,Male
T0007,C0326,Clothing,Shirt,7,2500,17500,2025-08-21,Peshawar,Credit Card,41.0,Female
T0008,C0088,Clothing,Jacket,2,10000,20000,2025-11-22,Faisalabad,Easypaisa,33.0,Male
T0009,C0286,Furniture,Bed,5,25000,125000,2025-12-19,Faisalabad,Easypaisa,38.0,Male
T0010,C0034,Clothing,Shirt,6,5000,30000,2025-05-18,Karachi,Jazzcash,63.0,Female
T0011,C0074,Clothing,Shoes,7,25000,175000,2025-08-23,Lahore,Credit Card,33.0,Female
T0012,C0071,Sports,Dumbbell,7,2500,17500,2025-04-23,Peshawar,Online Payment,23.0,Male
T0013,C0217,Electronics,Mobile Phone,3,50000,150000,2025-12-15,Peshawar,Cash,42.0,Female
T0014,C0349,Beauty,Shampoo,5,10000,50000,2025-01-06,Faisalabad,Cash,61.0,Female
T0015,C0081,Sports,Yoga Mat,2,2500,5000,2025-08-11,Multan,Cash,64.0,Female
T0016,C0153,Beauty,Skin Care,2,50000,100000,2025-11-17,Faisalabad,Jazzcash,56.0,Male
T0017,C0471,Clothing,Jacket,3,10000,30000,2025-09-29,Karachi,Jazzcash,38.0,Female
T0018,C0123,Electronics,Laptop,6,50000,300000,2025-06-07,Karachi,Credit Card,54.0,Male
